Subdivision,Total Living Area SqFt,Year Built,Bedrooms,Full Baths,Half Baths,Property Type,List Price,Sold Price,Acres,Approx Lot SqFt,Approximate Acres,Basement,Construction Type,Days On Market,Closing Date,Fireplace,Garage,HOA 1 Fees Required,Internet Listing,List Date,Master Bedroom 1st Floor,New Construction,Total Baths,Zip,Inside City,HOA Y/N,Elementary School 1,High School 1,Middle School 1,City,Restrictive Covenants
Rocky Ridge,"3,584",2001,3,3,1,Detached,"$630,000","$625,000",.26-.5 Acres,"16,160.76",0.371,No,Site Built,5,6/30/2021,1,2,,Yes,5/25/2021,Yes,No,4,27705-1681,Yes,No,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,No
American Village,"2,019",1983,3,3,0,Detached,"$345,000","$388,500",.26-.5 Acres,"16,552.80",0.38,No,Site Built,2,6/30/2021,1,0,,Yes,6/7/2021,No,No,3,27705,Yes,No,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,Yes
Courtyards at Southpoint,"2,735",2020,3,3,0,Detached,"$720,125","$720,705",0-.25 Acres,"7,056.72",0.162,No,Site Built,0,6/30/2021,1,2,Yes,Yes,11/23/2020,Yes,Yes,3,27713,Yes,Yes,Durham - Creekside,Durham - Jordan,Durham - Lowes Grove,Durham,Yes
Brightleaf,"1,270",2010,2,2,1,Attached,"$249,999","$270,000",0-.25 Acres,"1,306.80",0.03,No,Site Built,1,6/30/2021,0,0,Yes,Yes,5/14/2021,No,No,3,27703,Yes,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
Not in a Subdivision,"1,603",1938,3,2,0,Detached,"$360,000","$338,000",0-.25 Acres,"7,318.08",0.168,No,Site Built,31,6/30/2021,0,0,,Yes,4/19/2021,Yes,No,2,27701,Yes,No,Durham - Pearson,Durham - Jordan,Durham - Githens,Durham,No
Not in a Subdivision,"1,351",1920,2,2,1,Detached,"$480,000","$475,000",0-.25 Acres,"4,660.92",0.107,No,Site Built,9,6/30/2021,1,0,,Yes,5/20/2021,Yes,No,3,27707,Yes,,Durham - Spaulding,Durham - Jordan,Durham - Brogden,Durham,No
Southern Pointe Townhomes,"1,854",2019,3,2,1,Attached,"$295,000","$326,000",0-.25 Acres,"3,484.80",0.08,No,Site Built,0,6/30/2021,0,1,Yes,Yes,5/10/2021,No,No,3,27713,Yes,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Sagewood,"2,529",2021,3,3,0,Detached,"$403,055","$403,555",0-.25 Acres,"10,018.80",0.23,No,Site Built,0,6/30/2021,1,2,Yes,Yes,2/2/2021,Yes,Yes,3,27703,Yes,Yes,Durham - Holt,Durham - Southern,Durham - School for Creative Studies,Durham,Yes
Tyndrum,"3,331",2007,3,2,2,Detached,"$865,000","$860,000",.51-.75 Acres,"29,620.80",0.68,No,Site Built,7,6/30/2021,1,2,,Yes,5/14/2021,Yes,No,4,27705,No,No,Durham - Forest View,Durham - Jordan,Durham - Githens,Durham,No
Not in a Subdivision,"1,302",1948,2,1,0,Detached,"$419,900","$400,000",0-.25 Acres,"7,405.20",0.17,No,Site Built,35,6/30/2021,1,0,No,Yes,3/6/2021,Yes,No,1,27705,Yes,No,Durham - E.K. Powe,Durham - Riverside,Durham - Brogden,Durham,No
Brandon Ridge Spring Hill,708,1986,1,1,0,Condo,"$130,000","$143,000",0-.25 Acres,0.00,0.0,No,Site Built,4,6/30/2021,1,0,Yes,Yes,4/29/2021,No,No,1,27713,Yes,Yes,Durham - Creekside,Durham - Jordan,Durham - Githens,Durham,Yes
Andrews Chapel,"2,227",2021,4,3,1,Attached,"$380,802","$379,302",0-.25 Acres,"2,178.00",0.05,No,Site Built,0,6/30/2021,0,2,Yes,Yes,12/3/2020,No,Yes,4,27703,Yes,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
Not in a Subdivision,"1,200",2021,3,2,1,Detached,"$220,000","$226,000",0-.25 Acres,"5,662.80",0.13,No,Site Built,0,6/30/2021,0,0,,Yes,3/16/2021,No,Yes,3,27704,Yes,No,Durham - Eno Valley,Durham - Northern,Durham - Lucas,Durham,No
Winsford at the Park,"1,858",2016,3,2,1,Attached,"$320,000","$371,000",0-.25 Acres,"2,787.84",0.064,No,Site Built,0,6/30/2021,1,2,Yes,Yes,5/20/2021,No,No,3,27703,Yes,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Not in a Subdivision,"1,004",1956,3,1,0,Detached,"$220,000","$232,500",0-.25 Acres,"6,969.60",0.16,No,Site Built,1,6/30/2021,0,0,,Yes,5/29/2021,Yes,No,1,27701,Yes,,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,No
Stratford Lakes,"1,574",2010,2,2,1,Attached,"$259,000","$310,000",0-.25 Acres,"1,306.80",0.03,No,Site Built,2,6/30/2021,1,0,Yes,Yes,5/4/2021,No,No,3,27713,Yes,Yes,Durham - Southwest,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Not in a Subdivision,"1,820",2021,3,2,1,Detached,"$380,000","$380,000",0-.25 Acres,"16,465.68",0.378,No,Site Built,0,6/30/2021,1,0,,Yes,5/23/2021,No,Yes,3,27704,Yes,No,Durham - Merrick-Moore,Durham - Southern,Durham - Neal,Durham,No
Treyburn,"2,969",2014,3,2,1,Detached,"$435,000","$445,000",.26-.5 Acres,"13,068.00",0.3,No,Site Built,4,6/30/2021,1,2,Yes,Yes,5/3/2021,Yes,No,3,27712,Yes,Yes,Durham - Little River,Durham - Northern,Durham - Lucas,Durham,Yes
Not in a Subdivision,"1,615",1939,2,1,1,Detached,"$319,000","$407,000",0-.25 Acres,"8,363.52",0.192,No,Site Built,1,6/30/2021,1,0,,Yes,5/28/2021,Yes,No,2,27707,Yes,,Durham - Hope Valley,Durham - Jordan,Durham - Githens,Durham,No
Andrews Chapel,"2,092",2021,3,2,1,Attached,"$365,000","$364,000",0-.25 Acres,"3,484.80",0.08,No,Site Built,0,6/30/2021,0,2,Yes,Yes,12/23/2020,Yes,Yes,3,27703,Yes,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
The Pointe at Stratford Lakes,"1,858",2021,3,3,1,Attached,"$275,380","$275,380",0-.25 Acres,"1,306.80",0.03,No,Site Built,0,6/30/2021,0,1,Yes,Yes,12/7/2020,No,Yes,4,27713,Yes,Yes,Durham - Southwest,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Parkwood Village,"1,647",1980,3,2,1,Attached,"$185,000","$205,000",0-.25 Acres,"1,306.80",0.03,No,Site Built,2,6/30/2021,1,0,Yes,Yes,5/27/2021,No,No,3,27713,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Parkwood,"1,248",1962,3,2,0,Detached,"$265,000","$296,000",.26-.5 Acres,"14,374.80",0.33,No,Site Built,5,6/30/2021,1,0,Yes,Yes,4/2/2021,Yes,No,2,27713,No,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
To Be Added,"1,694",2021,3,2,1,Detached,"$389,200","$395,000",0-.25 Acres,"10,454.40",0.24,No,Site Built,0,6/30/2021,0,2,Yes,Yes,5/17/2021,No,Yes,3,27712,No,Yes,Durham - Eno Valley,Durham - Northern,Durham - Carrington,Durham,Yes
Winsford at the Park,"1,820",2016,3,2,1,Attached,"$300,000","$320,500",0-.25 Acres,"2,178.00",0.05,No,Site Built,0,6/30/2021,1,2,Yes,Yes,4/19/2021,No,No,3,27703,Yes,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Ellis Crossing,"2,851",2018,5,3,0,Detached,"$432,500","$500,000",0-.25 Acres,"5,662.80",0.13,No,Site Built,4,6/30/2021,1,2,Yes,Yes,5/14/2021,No,No,3,27703,Yes,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Scotland Manor,"1,226",1985,3,1,1,Attached,"$115,000","$130,000",0-.25 Acres,130.68,0.003,No,Site Built,2,6/30/2021,0,0,Yes,Yes,5/25/2021,No,No,2,27703,Yes,,Durham - Merrick-Moore,Durham - Southern,Durham - Neal,Durham,Yes
Mill Grove Park,"1,052",1954,2,1,0,Detached,"$194,999","$197,500",.51-.75 Acres,"23,522.40",0.54,No,Site Built,16,6/30/2021,0,0,,Yes,5/1/2021,Yes,No,1,27704,Yes,No,Durham - Holt,Durham - Riverside,Durham - Carrington,Durham,No
Williamsburg,"1,387",1998,3,2,0,Detached,"$289,900","$350,000",0-.25 Acres,"5,662.80",0.13,No,Site Built,4,6/30/2021,1,0,,Yes,5/20/2021,Yes,No,2,27707,Yes,No,Durham - Hope Valley,Durham - Jordan,Durham - Githens,Durham,No
Auburn,"1,660",2002,3,2,1,Attached,"$249,900","$295,000",0-.25 Acres,"2,047.32",0.047,No,Site Built,4,6/30/2021,1,1,Yes,Yes,5/13/2021,No,No,3,27713,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Landon Farms,"1,120",2004,3,1,1,Detached,"$152,000","$158,126",0-.25 Acres,"5,662.80",0.13,No,Site Built,0,6/30/2021,1,0,Yes,Yes,2/6/2021,No,No,2,27704,Yes,Yes,Durham - Glenn,Durham - Southern,Durham - Neal,Durham,Yes
Not in a Subdivision,"1,772",2021,4,3,0,Detached,"$429,000","$429,000",0-.25 Acres,"6,969.60",0.16,No,Site Built,0,6/30/2021,1,0,No,Yes,4/27/2021,No,Yes,3,27707,Yes,No,Durham - Hope Valley,Durham - Jordan,Durham - Githens,Durham,No
Copley Farm,"2,134",2021,4,3,0,Detached,"$315,335","$309,175",0-.25 Acres,"4,486.68",0.103,No,Site Built,0,6/30/2021,0,2,Yes,Yes,6/3/2021,No,Yes,3,27703,Yes,Yes,Durham - Merrick-Moore,Durham - Southern,Durham - Neal,Durham,Yes
Auburn,"3,090",2002,5,3,0,Detached,"$439,999","$470,000",0-.25 Acres,"10,236.60",0.235,No,Site Built,9,6/30/2021,1,2,Yes,Yes,5/14/2021,No,No,3,27713,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
The Hills at Southpoint,"4,306",2016,4,3,1,Detached,"$675,000","$680,000",.26-.5 Acres,"11,325.60",0.26,Yes,Site Built,9,6/30/2021,0,2,Yes,Yes,4/10/2021,No,No,4,27713,Yes,Yes,Durham - Creekside,Durham - Jordan,Durham - Githens,Durham,Yes
Green Gardens,"2,547",2009,5,2,1,Detached,"$396,000","$461,000",.26-.5 Acres,"14,810.40",0.34,No,Site Built,2,6/30/2021,1,2,Yes,Yes,5/28/2021,No,No,3,27713-3131,Yes,Yes,Durham - Southwest,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Courtyards at Southpoint,"2,501",2021,3,3,0,Detached,"$597,210","$597,210",0-.25 Acres,"8,494.20",0.195,No,Site Built,0,6/30/2021,1,2,Yes,Yes,6/29/2021,Yes,Yes,3,27713,Yes,Yes,Durham - Creekside,Durham - Jordan,Durham - Lowes Grove,Durham,Yes
Westwood Estates,"1,500",1982,2,2,0,Detached,"$279,900","$310,000",.26-.5 Acres,"17,424.00",0.4,Yes,Site Built,3,6/30/2021,1,1,,Yes,5/28/2021,Yes,No,2,27705,Yes,No,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,Yes
Southern Terrace,"1,224",2006,3,2,0,Detached,"$230,000","$266,000",.26-.5 Acres,"16,378.56",0.376,No,Site Built,3,6/30/2021,0,0,,Yes,6/3/2021,Yes,No,2,27703,Yes,No,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,No
Brightleaf,"1,654",2017,3,2,1,Attached,"$299,900","$327,000",0-.25 Acres,"1,742.40",0.04,No,Site Built,1,6/30/2021,0,1,Yes,Yes,5/28/2021,No,No,3,27703,Yes,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
Woodlake,"1,427",1993,3,2,1,Detached,"$319,000","$335,000",0-.25 Acres,"8,973.36",0.206,No,Site Built,3,6/30/2021,1,1,Yes,Yes,5/17/2021,No,No,3,27713,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
To Be Added,"2,820",2021,4,3,0,Detached,"$446,500","$446,500",.26-.5 Acres,"11,325.60",0.26,No,Site Built,0,6/30/2021,0,2,Yes,Yes,4/27/2021,No,Yes,3,27712,No,Yes,Durham - Eno Valley,Durham - Northern,Durham - Carrington,Durham,Yes
Woodcroft,"1,014",1984,2,2,0,Attached,"$219,000","$239,000",0-.25 Acres,"1,742.40",0.04,No,Site Built,3,6/30/2021,1,0,Yes,Yes,5/10/2021,Yes,No,2,27713,Yes,Yes,Durham - Southwest,Durham - Jordan,Durham - Githens,Durham,Yes
Southpoint Townes,"1,748",2018,3,2,1,Attached,"$319,000","$334,000",0-.25 Acres,"8,712.00",0.2,No,Site Built,3,6/30/2021,1,1,Yes,Yes,5/22/2021,No,No,3,27713,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Brightleaf,"3,157",2008,5,3,0,Detached,"$465,000","$540,000",.26-.5 Acres,"13,939.20",0.32,No,Site Built,5,6/30/2021,1,2,Yes,Yes,6/3/2021,No,No,3,27703,Yes,,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
Andrews Chapel,"2,227",2021,4,3,1,Attached,"$381,702","$381,702",0-.25 Acres,"1,742.40",0.04,No,Site Built,0,6/30/2021,0,2,Yes,Yes,2/11/2021,No,Yes,4,27703,Yes,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
Marydell Estates,"2,700",1986,4,2,1,Detached,"$500,000","$520,000",.51-.75 Acres,"22,651.20",0.52,No,Site Built,16,6/30/2021,1,2,Yes,Yes,5/14/2021,No,No,3,27707,Yes,Yes,Durham - Creekside,Durham - Jordan,Durham - Githens,Durham,Yes
Colony Park,"4,044",1993,4,3,1,Detached,"$695,000","$725,000",.51-.75 Acres,"25,264.80",0.58,Yes,Site Built,0,6/30/2021,2,2,Yes,Yes,5/28/2021,No,No,4,27705-5513,Yes,Yes,Durham - Forest View,Durham - Jordan,Durham - Githens,Durham,Yes
Not in a Subdivision,"1,854",2016,4,3,0,Detached,"$494,000","$500,000",0-.25 Acres,"6,098.40",0.14,No,Site Built,3,6/30/2021,1,0,,Yes,5/12/2021,No,No,3,27707,Yes,No,Durham - Spaulding,Durham - Jordan,Durham - Brogden,Durham,Yes
Canterbury,"3,476",2018,5,4,1,Detached,"$825,000","$825,000",0-.25 Acres,"10,454.40",0.24,No,Site Built,8,6/30/2021,1,2,Yes,Yes,5/17/2021,No,No,5,27705,Yes,Yes,Durham - Forest View,Durham - Jordan,Durham - Githens,Durham,Yes
Carolina Arbors,"1,911",2016,2,2,0,Detached,"$450,000","$450,000",0-.25 Acres,"5,662.80",0.13,No,Site Built,1,6/30/2021,0,2,Yes,Yes,4/9/2021,Yes,No,2,27703,Yes,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
Andrews Chapel,"2,092",2021,3,2,1,Attached,"$352,735","$352,735",0-.25 Acres,"3,484.80",0.08,No,Site Built,0,6/30/2021,0,2,Yes,Yes,12/22/2020,Yes,Yes,3,27703,Yes,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
Davis Park,"2,004",2013,4,3,0,Attached,"$350,000","$382,000",0-.25 Acres,"1,742.40",0.04,No,Site Built,2,6/30/2021,1,1,Yes,Yes,6/4/2021,No,No,3,27703-8294,No,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Enclave,"2,085",2021,3,3,0,Detached,"$360,080","$385,070",0-.25 Acres,"5,009.40",0.115,No,Site Built,0,6/30/2021,0,1,Yes,Yes,11/24/2020,Yes,Yes,3,27703,Yes,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
Woodlake,"1,350",1994,3,2,0,Detached,"$295,000","$341,000",0-.25 Acres,"6,969.60",0.16,No,Site Built,2,6/30/2021,1,1,Yes,Yes,5/29/2021,Yes,No,2,27713,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Highland Park,"1,957",2020,3,2,1,Attached,"$293,580","$293,130",0-.25 Acres,"3,049.20",0.07,No,Site Built,0,6/30/2021,0,1,Yes,Yes,10/14/2020,No,Yes,3,27713,Yes,Yes,Durham - Southwest,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
University Terrace,"1,763",2021,3,2,1,Detached,"$444,000","$444,000",0-.25 Acres,"8,276.40",0.19,No,Site Built,0,6/30/2021,1,0,,Yes,5/7/2021,No,Yes,3,27707,Yes,No,Durham - Hope Valley,Durham - Jordan,Durham - Githens,Durham,No
Creekside at Bethpage,"2,114",2020,2,2,1,Detached,"$595,577","$595,577",0-.25 Acres,"6,969.60",0.16,No,Site Built,0,6/30/2021,1,3,Yes,Yes,8/13/2020,Yes,Yes,3,27703,Yes,Yes,Durham - Pearsontown,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Oakland Heights,"1,920",1940,3,2,0,Detached,"$599,990","$640,000",0-.25 Acres,"7,448.76",0.171,No,Site Built,2,6/30/2021,1,0,,Yes,5/21/2021,Yes,No,2,27705,Yes,,Durham - E.K. Powe,Durham - Riverside,Durham - Brogden,Durham,No
Dogwood Acres,"2,300",1956,3,2,0,Detached,"$330,000","$330,000",1-2.9 Acres,"44,866.80",1.03,No,Site Built,15,7/1/2021,1,1,,Yes,5/4/2021,Yes,No,2,27705,Yes,,Durham - Holt,Durham - Riverside,Durham - Carrington,Durham,No
Stratford Lakes,"1,534",2010,2,2,1,Attached,"$252,000","$282,000",0-.25 Acres,"1,698.84",0.039,No,Site Built,0,7/1/2021,1,0,Yes,Yes,5/6/2021,No,No,3,27713-3474,Yes,Yes,Durham - Southwest,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Treyburn,"3,138",1997,4,2,1,Detached,"$489,000","$510,000",.51-.75 Acres,"24,393.60",0.56,No,Site Built,4,7/1/2021,1,2,Yes,Yes,5/26/2021,Yes,No,3,27712-8968,Yes,Yes,Durham - Little River,Durham - Northern,Durham - Lucas,Durham,Yes
Pinecrest,"1,120",1972,3,1,0,Detached,"$205,000","$190,000",0-.25 Acres,"7,230.96",0.166,No,Site Built,2,7/1/2021,0,0,,Yes,4/11/2021,Yes,No,1,27707,Yes,,Durham - Lakewood,Durham - Jordan,Durham - Githens,Durham,Yes
Grandale Place,"2,556",2002,4,2,1,Detached,"$400,000","$465,000",.26-.5 Acres,"12,632.40",0.29,No,Site Built,3,7/1/2021,1,2,Yes,Yes,6/2/2021,No,No,3,27713,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Willow Bridge Villas,"1,440",1981,2,2,1,Attached,"$205,000","$215,000",0-.25 Acres,"1,655.28",0.038,No,Site Built,0,7/1/2021,1,0,Yes,Yes,5/20/2021,No,No,3,27707,Yes,Yes,Durham - Hope Valley,Durham - Jordan,Durham - Githens,Durham,Yes
Meadows at Southpoint,"1,762",2018,3,2,1,Attached,"$350,000","$380,000",0-.25 Acres,"2,482.92",0.057,No,Site Built,0,7/1/2021,0,2,Yes,Yes,5/25/2021,No,No,3,27713,Yes,,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Greymoss,"2,473",1978,3,2,1,Detached,"$349,900","$395,000",.51-.75 Acres,"27,573.48",0.633,No,Site Built,0,7/1/2021,1,0,,Yes,5/28/2021,No,No,3,27712,No,No,Durham - Easley,Durham - Northern,Durham - Carrington,Durham,Yes
Huntington Ridge,"2,970",2003,4,2,1,Detached,"$490,000","$510,000",.26-.5 Acres,"13,764.96",0.316,No,Site Built,2,7/1/2021,1,2,Yes,Yes,4/22/2021,Yes,No,3,27713,Yes,Yes,Durham - Creekside,Durham - Jordan,Durham - Githens,Durham,Yes
Not in a Subdivision,"1,200",2021,2,2,1,Detached,"$393,000","$393,000",0-.25 Acres,"2,134.44",0.049,No,Site Built,0,7/1/2021,1,0,,Yes,4/30/2021,No,Yes,3,27701,Yes,,Durham - Eastway,Durham - Northern,Durham - Lucas,Durham,No
Davis Park,"1,798",2013,3,2,1,Attached,"$310,000","$340,000",0-.25 Acres,"1,742.40",0.04,No,Site Built,2,7/1/2021,1,1,Yes,Yes,5/22/2021,No,No,3,27703,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Penrith,"1,334",1984,3,2,0,Detached,"$245,000","$270,000",.26-.5 Acres,"13,939.20",0.32,No,Site Built,2,7/1/2021,1,0,,Yes,5/26/2021,No,No,2,27713,Yes,No,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,No
Not in a Subdivision,"1,419",1930,3,2,0,Detached,"$399,900","$450,000",0-.25 Acres,"7,405.20",0.17,Yes,Site Built,4,7/1/2021,2,0,,Yes,5/25/2021,Yes,No,2,27705,Yes,No,Durham - E.K. Powe,Durham - Riverside,Durham - Brogden,Durham,No
Brightleaf,"2,626",2012,3,2,1,Detached,"$450,000","$445,000",0-.25 Acres,"7,840.80",0.18,No,Site Built,14,7/1/2021,1,2,Yes,Yes,5/18/2021,Yes,No,3,27703-7972,No,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
Parkwood Village,"1,656",1973,3,2,1,Attached,"$199,900","$213,000",0-.25 Acres,"1,306.80",0.03,No,Site Built,5,7/1/2021,1,0,Yes,Yes,4/25/2021,No,No,3,27713,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Willowhaven,"1,742",1972,3,2,0,Detached,"$275,000","$350,000",.26-.5 Acres,"20,342.52",0.467,No,Site Built,5,7/1/2021,1,0,,Yes,6/16/2021,Yes,No,2,27712,No,,Durham - Easley,Durham - Riverside,Durham - Carrington,Durham,No
Willow Hill,"1,585",1980,3,2,0,Detached,"$259,000","$290,000",.51-.75 Acres,"32,234.40",0.74,No,Site Built,6,7/1/2021,1,0,,Yes,6/3/2021,No,No,2,27712-1233,No,No,Durham - Little River,Durham - Northern,Durham - Carrington,Durham,No
Ellis Crossing,"2,227",2021,3,3,1,Attached,"$344,400","$344,400",0-.25 Acres,"3,049.20",0.07,No,Site Built,0,7/1/2021,0,2,Yes,Yes,11/5/2020,No,Yes,4,27703,Yes,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Brightleaf,"1,698",2017,3,2,1,Attached,"$289,000","$320,000",0-.25 Acres,"1,742.40",0.04,No,Site Built,3,7/1/2021,0,1,Yes,Yes,5/25/2021,No,No,3,27703,Yes,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
Not in a Subdivision,"1,547",1972,3,2,0,Detached,"$369,900","$388,000",1-2.9 Acres,"103,106.52",2.367,No,Site Built,3,7/1/2021,0,0,,Yes,5/26/2021,Yes,No,2,27703,No,No,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,No
Chadsford,"2,524",2005,4,3,1,Detached,"$440,000","$420,000",0-.25 Acres,"7,840.80",0.18,No,Site Built,18,7/1/2021,1,2,Yes,Yes,5/12/2021,No,No,4,27713-6680,No,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Not in a Subdivision,910,1967,3,1,0,Detached,"$179,900","$200,000",.26-.5 Acres,"14,984.64",0.344,No,Site Built,4,7/1/2021,0,0,,Yes,5/28/2021,Yes,No,1,27705,Yes,No,Durham - Holt,Durham - Riverside,Durham - Carrington,Durham,No
Hope Valley Farms,"1,985",1997,4,2,1,Detached,"$355,000","$400,000",0-.25 Acres,"7,405.20",0.17,No,Site Built,1,7/1/2021,1,2,Yes,Yes,5/24/2021,No,No,3,27713,Yes,,Durham - Hope Valley,Durham - Jordan,Durham - Githens,Durham,Yes
Hanover Pointe,"2,454",2013,3,2,1,Detached,"$365,000","$395,000",0-.25 Acres,"5,009.40",0.115,No,Site Built,0,7/1/2021,1,2,Yes,Yes,5/26/2021,No,No,3,27703,Yes,Yes,Durham - Bethesda,Durham - Southern,Durham - Neal,Durham,Yes
Southpoint Station,"2,111",2019,3,2,1,Attached,"$360,000","$376,000",0-.25 Acres,"2,657.16",0.061,No,Site Built,3,7/1/2021,0,2,Yes,Yes,5/20/2021,No,No,3,27713,Yes,Yes,Durham - Creekside,Durham - Hillside,Durham - Githens,Durham,Yes
Vantage Pointe,"1,527",2000,3,2,1,Detached,"$284,900","$350,000",.26-.5 Acres,"13,068.00",0.3,No,Site Built,4,7/1/2021,1,1,Yes,Yes,5/13/2021,No,No,3,27712,Yes,Yes,Durham - Eno Valley,Durham - Northern,Durham - Lucas,Durham,Yes
The Pointe at Stratford Lakes,"2,293",2021,4,3,1,Attached,"$316,105","$316,105",0-.25 Acres,"2,482.92",0.057,No,Site Built,0,7/1/2021,0,2,Yes,Yes,1/13/2021,No,Yes,4,27713,Yes,Yes,Durham - Southwest,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Not in a Subdivision,"2,081",1900,3,2,1,Detached,"$389,000","$380,000",0-.25 Acres,"6,969.60",0.16,No,Site Built,61,7/1/2021,0,0,No,Yes,3/4/2021,Yes,No,3,27703,Yes,No,Durham - Y E Smith,Durham - Southern,Durham - Neal,Durham,No
Alexander Crossing,"2,710",2005,4,2,1,Detached,"$329,000","$400,000",0-.25 Acres,"7,927.92",0.182,No,Site Built,1,7/2/2021,1,2,Yes,Yes,5/13/2021,No,No,3,27703,Yes,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Not in a Subdivision,"2,852",2017,3,2,1,Detached,"$605,000","$665,000",.76-.99 Acres,"33,541.20",0.77,No,Site Built,2,7/2/2021,1,2,,Yes,6/3/2021,Yes,No,3,27707,Yes,No,Durham - Hope Valley,Durham - Jordan,Durham - Githens,Durham,No
Glen,"1,405",1972,3,2,0,Detached,"$274,900","$305,000",.26-.5 Acres,"20,908.80",0.48,No,Site Built,2,7/2/2021,0,0,,Yes,5/11/2021,Yes,No,2,27704,No,No,Durham - Merrick-Moore,Durham - Southern,Durham - Neal,Durham,No
Belcrest,"2,632",2010,4,2,1,Detached,"$365,000","$410,000",0-.25 Acres,"7,405.20",0.17,No,Site Built,2,7/2/2021,1,2,Yes,Yes,5/31/2021,No,No,3,27713,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Deer Run,"1,193",1987,3,2,0,Detached,"$219,900","$234,900",0-.25 Acres,"9,147.60",0.21,No,Site Built,2,7/2/2021,0,0,,Yes,5/10/2021,Yes,No,2,27704,Yes,,Durham - Glenn,Durham - Northern,Durham - Lucas,Durham,Yes
Not in a Subdivision,"1,472",1959,2,1,0,Detached,"$410,000","$450,000",1-2.9 Acres,"116,305.20",2.67,Yes,Site Built,3,7/2/2021,2,2,,Yes,5/24/2021,Yes,No,1,27705,No,,Orange - River Park,Orange - Orange,Orange - Orange,Durham,No
Huntley,"2,590",2021,3,3,1,Detached,"$472,634","$474,634",0-.25 Acres,"6,098.40",0.14,No,Site Built,0,7/2/2021,1,2,Yes,Yes,4/5/2021,Yes,Yes,4,27703,Yes,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
Magnolia Creek,"1,440",2021,3,2,0,Detached,"$250,770","$250,777",0-.25 Acres,"7,405.20",0.17,No,Site Built,0,7/2/2021,0,2,Yes,No,3/8/2021,Yes,Yes,2,27704,Yes,Yes,Durham - Eno Valley,Durham - Northern,Durham - Lucas,Durham,No
